number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bylevel,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
0,0.7706711783988809,2026-01-30 08:54:52.255358,2026-01-30 08:54:55.886651,0 days 00:00:03.631293,0.24810409748678125,dart,0.9162213204002109,0.9849549260809971,0.01699897838270077,2.9152036385288193e-08,depthwise,0.8471801418819978,4,8,291,forest,0.21597250932105788,weighted,0.14561457009902096,0.5102922471479012,COMPLETE
1,0.7556983205763661,2026-01-30 08:54:55.891868,2026-01-30 08:54:56.981631,0 days 00:00:01.089763,0.029204338471814112,gbtree,0.5325257964926398,0.5852620618436457,0.14447746112718687,3.9572205641009174e-07,lossguide,0.01474275315991467,7,1,954,,,,,0.8037724259507192,COMPLETE
2,0.7548405058739636,2026-01-30 08:54:56.986775,2026-01-30 08:54:58.234649,0 days 00:00:01.247874,0.002458603276328005,gbtree,0.6558555380447055,0.831261142176991,0.044684675025045834,9.469038421774442e-08,depthwise,0.01653693718282442,9,10,568,,,,,0.6293899908000085,COMPLETE
3,0.755336793326161,2026-01-30 08:54:58.237520,2026-01-30 08:54:59.164063,0 days 00:00:00.926543,1.2604664585649468,gbtree,0.6943386448447411,0.6626651653816322,0.20978213384576816,0.0006070155694141794,depthwise,7.556810141274429,12,2,344,,,,,0.522613644455269,COMPLETE
4,0.7500811526933446,2026-01-30 08:54:59.167530,2026-01-30 08:54:59.910329,0 days 00:00:00.742799,0.14817820606039092,gbtree,0.8534286719238086,0.9077307142274171,0.1530883741573138,3.9482545946332394e-08,depthwise,0.013296521457299506,4,2,756,,,,,0.5027610585618012,COMPLETE
