first_deriv_682.0,lat_norm,first_deriv_555.0,first_deriv_563.0,first_deriv_542.0,first_deriv_560.0,first_deriv_565.0,Rrs_686.0,first_deriv_558.0,first_deriv_532.0,first_deriv_692.0,Rrs_684.0,Rrs_682.0,first_deriv_699.0,first_deriv_694.0,Rrs_692.0,first_deriv_545.0,first_deriv_691.0,first_deriv_693.0,Rrs_683.0,dist_from_center,Rrs_681.0,first_deriv_568.0,first_deriv_707.0,second_deriv_653.0,first_deriv_702.0,first_deriv_701.0,second_deriv_671.0,Rrs_717.0,Rrs_691.0,second_deriv_487.0,second_deriv_565.0,second_deriv_515.0,first_deriv_703.0,first_deriv_696.0,first_deriv_698.0,second_deriv_505.0,Rrs_702.0,Rrs_689.0,second_deriv_540.0,second_deriv_660.0,Rrs_701.0,Rrs_679.0,first_deriv_708.0,second_deriv_490.0,first_deriv_550.0,second_deriv_356.0,first_deriv_697.0,second_deriv_361.0,second_deriv_403.0,first_deriv_540.0,first_deriv_704.0,lon_norm,Rrs_688.0,first_deriv_673.0,Rrs_693.0,first_deriv_553.0,first_deriv_683.0,Rrs_694.0,Rrs_696.0,Rrs_703.0,first_deriv_706.0,Rrs_678.0,first_deriv_670.0,FLH,first_deriv_547.0,first_deriv_676.0,first_deriv_530.0,second_deriv_665.0,Rrs_699.0,second_deriv_502.0,first_deriv_510.0,Rrs_704.0,Rrs_698.0,Rrs_676.0,first_deriv_512.0,Rrs_697.0,Rrs_719.0,Rrs_677.0,Rrs_673.0,Rrs_675.0,first_deriv_675.0,Rrs_687.0,first_deriv_657.0,first_deriv_507.0,first_deriv_672.0,second_deriv_666.0,first_deriv_668.0,first_deriv_655.0,blue_green_ratio,ratio_490_555,first_deriv_713.0,second_deriv_462.0,Rrs_706.0,second_deriv_676.0,auc_nir,first_deriv_681.0,second_deriv_542.0,first_deriv_535.0,Rrs_671.0
0.13536644,0.0064573577,0.0035087117,-0.012793458,0.0059055705,-0.00088237383,-0.01113466,-0.0026003353,0.0029106033,-0.0069252243,-0.02875432,0.0,0.0,0.011498739,0.02057574,0.000739675,0.020693297,0.0031151182,0.0057803765,0.0,0.045018326,0.0,-0.011638148,0.004630617,-0.0023934133,0.0,0.0018962104,0.00081146415,-0.00899595,-0.010408452,0.012439897,-0.00041908748,0.023726394,0.0,0.042137697,-0.011519326,0.007180076,-0.0015671928,0.0,-0.10393918,-0.0055302195,0.0,0.0,-0.03400201,-0.022651542,0.016607936,0.034312345,0.0,-0.10991542,0.0044337767,0.0,-0.0037792202,-0.028092232,0.0,0.0038489613,0.0,0.0065589864,0.021045487,0.0,0.0,0.0,0.0028901494,0.0,0.0063803876,0.0,-0.0014489244,-0.017041497,0.109084666,0.022314074,0.0,0.015053543,-0.008273842,-0.0040130788,0.0,0.010116344,0.0,0.0,-0.016822014,0.0,0.0,0.0,0.0,0.0,0.002774138,-0.04388459,-0.0024859682,-0.0038193553,-0.0071598813,0.001260253,0.0,0.0,0.0,0.00012067193,0.0,0.014944635,0.0,0.0080813235,0.007841429,0.0014534653,-0.019034397
-0.040811464,0.11004056,-0.0039209193,-0.015407007,-0.016306339,0.00046189982,-0.09297529,-0.0043222164,0.004366635,-0.0114652235,0.0003896095,0.0,0.0,0.007924562,-0.011888258,0.017606083,-0.03709125,-0.0003455216,0.007283522,0.0,-0.0031343256,0.0,0.007983317,0.01601886,-0.0054024765,0.0,0.0015306954,-0.012662332,-0.008219676,-0.005020243,0.007180754,-0.0015776104,0.009073973,0.0,-0.0104127955,-0.0022477428,-0.017258717,-0.0015671928,0.0,-0.0282071,-0.0013298972,0.0,0.0,0.06623433,-0.028158769,7.718522e-05,0.02262044,0.0,-0.093496166,-0.0067405333,0.0,0.008215193,0.103058726,0.0,0.015923653,0.0,-0.021369582,-6.855419e-05,0.0,0.0,0.0,0.0022697174,0.0,-0.00062678114,0.0,-0.002797692,0.0032758752,0.008280644,-0.007983587,0.0,-0.0021971506,-0.01340543,-0.003389816,0.0,0.06594418,0.0,0.0,-0.011399429,0.0,0.0,0.0,0.0,0.0,0.012529727,-0.0030633546,-0.012560156,0.010789477,-0.007564528,0.0007968549,0.0,0.0,0.0,0.015541231,0.0,0.0021692698,0.0,0.029184578,-0.045464903,0.0014534653,-0.014386813
-0.040221043,-0.040511128,0.0029397234,-0.022740101,0.038725786,-0.00088237383,0.040663846,-0.0063362634,0.007091669,-0.012940672,-0.016395474,0.0,0.0,-0.0036794725,0.010326089,0.06611155,0.072107,0.0047727176,0.007996386,0.0,-0.014942207,0.0,-0.024052303,0.0021947464,-0.021088986,0.0,0.0018962104,-0.008119964,-0.008321345,0.023115885,0.007180754,0.0012572623,0.006259778,0.0,-0.040264923,0.02350277,-9.396003e-05,-0.0015671928,0.0,0.021487316,-0.014484284,0.0,0.0,-0.03171235,-0.020253614,0.016607936,0.03555593,0.0,-0.0283951,-0.049773134,0.0,-0.016517455,-0.043413386,0.0,0.0038489613,0.0,0.0050186734,-0.026265549,0.0,0.0,0.0,0.0028901494,0.0,0.014293234,0.0,-0.0025914211,0.0029448727,-0.050505046,0.008215576,0.0,-0.0035867095,-0.05136243,-0.01019715,0.0,0.013605911,0.0,0.0,-0.00056435505,0.0,0.0,0.0,0.0,0.0,-0.008587338,0.015238307,-0.011851623,-0.008839079,0.02154493,-0.004200843,0.0,0.0,0.0,0.008380872,0.0,-0.008449845,0.0,-0.0083025545,-0.0029187948,0.0014534653,-0.019034397
-0.06615515,-0.07425854,0.006396816,-0.003320041,0.040894896,0.00088237383,0.035316315,-0.002580158,0.0029106033,-0.012940672,-0.033988714,0.0,0.0,0.023310766,-0.0036961362,-0.02820741,-7.863977e-05,0.0031151182,0.0016140847,0.0,-0.014703347,0.0,-0.024052303,0.0034719966,0.058993652,0.0,0.0018962104,-0.036406074,-0.006633087,0.028885446,0.012334503,-0.0021783817,0.023726394,0.0,0.041750714,-0.011519326,-0.011713257,-0.006904106,0.0,-0.06201776,-0.0055302195,0.0,0.0,-0.030512441,0.39009586,0.016607936,0.017839206,0.0,-0.008058483,-0.021365684,0.0,-0.0039480967,-0.023923362,0.0,0.00073553226,0.0,0.010758955,0.030817878,0.0,0.0,0.0,0.0028901494,0.0,0.0022990224,0.0,-0.0025914211,0.005230367,-0.036299575,0.01619609,0.0,-0.0013707003,-0.0110786315,-0.01019715,0.0,0.013605911,0.0,0.0,-0.0031527393,0.0,0.0,0.0,0.0,0.0,0.07503311,-0.02118475,-0.0043017287,0.010501059,0.0015233988,0.010840668,0.0,0.0,0.0,0.008380872,0.0,0.014944635,0.0,-0.0007703344,0.0007112778,0.0014534653,-0.022072434
-0.027748495,-0.027686656,0.00033945404,-0.006964146,0.03851038,0.00088237383,-0.02174289,-0.0011898184,0.0029106033,-0.014781526,-0.02875432,0.0,0.0,0.0119935395,0.010801701,0.01722176,0.018107167,0.0031151182,0.0075540207,0.0,-0.014475365,0.0,0.00406385,0.01601886,-0.01861961,0.0,0.019123677,0.08535333,-0.012369913,-0.005020243,0.007180754,-0.00041908748,0.0070897588,0.0,0.033879906,-0.011519326,-0.01084253,-0.0015671928,0.0,-0.05699922,-0.0055302195,0.0,0.0,-0.030512441,-0.024872622,-2.7064001e-05,0.025016952,0.0,-0.093496166,0.00497422,0.0,0.01159399,-0.0691226,0.0,0.00853776,0.0,0.011822472,0.021045487,0.0,0.0,0.0,0.0020998456,0.0,0.0053862296,0.0,-0.0025914211,0.0032758752,0.0038539134,-0.007983587,0.0,0.0045364276,-0.011449899,-0.01019715,0.0,0.013605911,0.0,0.0,-0.016822014,0.0,0.0,0.0,0.0,0.0,0.0023744553,-0.05233594,-0.012560156,-0.0076024574,-0.0041847746,0.001260253,0.0,0.0,0.0,0.008067649,0.0,0.004193795,0.0,-0.0069567887,-0.036497265,0.00094185467,-0.014386813
0.0011893329,0.08709738,0.003071642,-0.012793458,0.012864153,-0.00088237383,0.02318278,-0.00082595646,0.0029106033,-0.009624369,-0.027542869,0.0,0.0,0.009079816,0.01836409,0.017363213,0.015610157,0.0070782234,0.0057803765,0.0,-0.004722393,0.0,0.016415086,0.004630617,-0.002804162,0.0,0.0018962104,-0.029204518,-0.004772908,-0.005020243,0.007840818,-0.0009778708,0.0120820105,0.0,0.024625383,-0.011519326,0.070449166,-0.0015671928,0.0,0.015606959,0.005103543,0.0,0.0,0.042921882,-0.02411809,0.008651665,0.034312345,0.0,0.011514548,-0.019090232,0.0,-0.0037792202,0.08045938,0.0,0.0038489613,0.0,0.04121276,0.012654202,0.0,0.0,0.0,0.002964636,0.0,0.0068869074,0.0,-0.0013014507,0.005230367,-0.014704887,0.008215576,0.0,0.003146869,-0.007821845,-0.003389816,0.0,0.039900094,0.0,0.0,0.0057064393,0.0,0.0,0.0,0.0,0.0,0.012566939,-0.04388459,-0.026905838,-0.008902496,-0.0071598813,0.010840668,0.0,0.0,0.0,0.015541231,0.0,0.004193795,0.0,-0.014314443,-0.011116348,0.0014534653,-0.019034397
-0.03484421,-0.038734008,0.0030845038,-0.022634491,0.038725786,-0.00088237383,0.025986489,-0.0058239857,0.007091669,-0.0117820045,-0.010017863,0.0,0.0,-0.0036794725,0.0075012455,0.06493847,0.07266578,0.0047727176,0.0037045737,0.0,0.014336828,0.0,0.00406385,0.0021947464,-0.016512537,0.0,-0.0037924207,-0.01765212,-0.008778377,0.0351417,0.0059376536,-0.00041908748,0.00408172,0.0,-0.024690803,0.02350277,-0.011396728,-0.0015671928,0.0,-0.013366428,-0.0055302195,0.0,0.0,-0.030512441,-0.020828117,0.008651665,0.03555593,0.0,-0.011975835,0.008109253,0.0,-0.012028009,-0.0691226,0.0,0.00853776,0.0,0.011822472,-0.026265549,0.0,0.0,0.0,0.002964636,0.0,0.014293234,0.0,-0.0025914211,0.005230367,-0.031630903,-0.015435327,0.0,-0.014103825,-0.05344632,-0.01019715,0.0,0.013605911,0.0,0.0,-0.00056435505,0.0,0.0,0.0,0.0,0.0,-0.008439997,0.015238307,-0.05209639,-0.008280296,0.02154493,-0.004200843,0.0,0.0,0.0,0.009512522,0.0,0.0021692698,0.0,-0.0083025545,-0.0036806555,0.0014534653,-0.019034397
-0.09211151,-0.07332617,-0.014751828,0.00022961907,-0.026871033,0.00046189982,0.03277786,-0.0015730218,0.029370548,-0.012940672,-0.0098821055,0.0,0.0,-0.011149892,-0.0016057472,-0.19763589,-0.08970653,0.0036175838,0.0043626763,0.0,-0.014942207,0.0,-0.015196566,0.000729162,-0.007900934,0.0,-0.057123538,0.038649946,-0.011288156,0.014859362,0.0081052445,0.0022706918,0.00408172,0.0,-0.0013537873,0.012202034,-0.011259339,-0.0023300573,0.0,0.016144542,-0.014484284,0.0,0.0,-0.03171235,-0.031908523,0.016607936,-0.12770239,0.0,-0.011975835,-0.009798622,0.0,-0.010370016,-0.07036291,0.0,-0.004542363,0.0,-0.0026022745,-0.026265549,0.0,0.0,0.0,0.0028901494,0.0,0.032224663,0.0,-0.009987822,0.0029448727,-0.06400095,-0.015435327,0.0,-0.0035867095,0.052681517,-0.01019715,0.0,0.013605911,0.0,0.0,-0.00056435505,0.0,0.0,0.0,0.0,0.0,-0.015543742,0.03518927,-0.015715264,-0.024966277,0.0058000805,-0.004200843,0.0,0.0,0.0,0.008380872,0.0,0.0021692698,0.0,-0.0083025545,-0.003467233,0.00094185467,-0.010754377
-0.0533123,-0.097709194,0.13702768,-0.0034296971,-0.009629128,0.00046189982,-0.12888321,-0.0008229193,0.0039455825,-0.00870586,-0.0098821055,0.0,0.0,-0.0074476246,0.009049939,-0.061592598,-0.10286453,0.0036175838,0.007339879,0.0,-0.015298104,0.0,0.0025878935,0.00034211995,-0.020474048,0.0,0.0018962104,-0.060908943,-0.007885559,0.014859362,0.01410632,0.0022706918,0.0070897588,0.0,0.00073571777,0.012202034,-0.0017861247,-0.006904106,0.0,-0.029722173,0.03729661,0.0,0.0,-0.021427598,-0.023207722,-0.04736337,0.03417946,0.0,0.018423447,-0.0860122,0.0,-0.076625586,-0.0639893,0.0,0.006831687,0.0,-0.0061301705,-0.00937012,0.0,0.0,0.0,0.0018465696,0.0,0.016698247,0.0,0.066585466,0.0021712198,-0.004105661,0.0042493283,0.0,-0.0035867095,0.010111387,-0.01019715,0.0,0.013605911,0.0,0.0,-0.00056435505,0.0,0.0,0.0,0.0,0.0,0.14527805,0.017329967,-0.023675539,-0.03346055,-0.0076496154,-0.0026561832,0.0,0.0,0.0,0.009512522,0.0,0.004193795,0.0,0.0059929993,-0.043892045,0.0014534653,-0.01118299
0.068911865,-0.023627196,0.0057052947,-0.02990687,0.00301346,-0.0005263691,-0.0716471,-0.0026003353,0.0029106033,-0.0069252243,-0.028675545,0.0,0.0,-0.0027534796,0.02057574,0.04585877,0.07449834,0.00080961245,0.007848322,0.0,0.031214612,0.0,0.0034016492,0.0012784952,0.042781502,0.0,-0.003061391,0.0051616128,-0.010308978,-0.0033022694,0.012439897,-0.00041908748,0.023726394,0.0,0.042137697,0.02350277,-0.00080593955,-0.0015671928,0.0,0.119530044,-0.0055302195,0.0,0.0,-0.03400201,-0.0155471,0.016607936,0.02924221,0.0,-0.069279365,0.028091865,0.0,-0.0041204207,-0.075012,0.0,0.0038489613,0.0,0.017562754,0.021045487,0.0,0.0,0.0,0.0028901494,0.0,0.0062313867,0.0,-0.0025914211,0.0021712198,-0.019755844,0.022314074,0.0,-0.014103825,-0.010442685,-0.0040130788,0.0,0.010116344,0.0,0.0,0.009210425,0.0,0.0,0.0,0.0,0.0,0.037755653,0.019875363,-0.016350014,-0.008280296,0.010199709,0.001260253,0.0,0.0,0.0,0.0048235306,0.0,0.014944635,0.0,-0.024728552,-0.040061515,0.0014534653,-0.019034397
